Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
"SDGE Borrego SES, GRC ES Program Unit 5",Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,1000,3.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,Stationary Transmission/Distribution Upgrade Deferral,,,,,,,,,,,33,-116,Borrego Springs,California,United States,,92064,Saft and ABB will supply a 3 MWh lithium ion system to San Diego Gas and Electric (SDG&E) at the Borrego Substation.  The system will be used for power quality and capacity/infrastructure deferral.,http://www.cpuc.ca.gov/NR/rdonlyres/36D1D0D0-9719-4172-BCDB-5723D303A78D/0/SDGE_StorageApplication.pdf,DD.02.YYYY,,,,CAISO,San Diego Gas and Electric,Investor Owned,Primary Distribution,,Utility-Owned,San Diego Gas and Electric,,,,Saft,ABB Electric,,San Diego Gas and Electric,,,,,,15,N/A,,,,,,,,,,,,,,,Josh McIlvoy,JMcIlvoy@semprautilities.com,858-866-2545,,,,,,DD.29.YYYY 22:29:01,DD.48.YYYY 16:48:22,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,
SDG&E Carmel Valley - Saft / ABB,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,1000,3.0,Operational,Grid-Connected Commercial (Reliability & Quality) ,Microgrid Capability,,,,,,,,,,,33,"September 4, 1899",San Diego,California,United States,,92130,"Saft and ABB supplied a 1 MW / 3 MWh lithium ion system to San Diego Gas and Electric (SDG&E) for power quality and islanding.

SDG&E’s Advanced Energy Storage (AES) system is:
• Capable of dispatching 1,000 KW of power and supplying 3,000 kW-Hrs of energy
• Equipped with smart inverters
• One of the first systems in SDG&E’s service territory with the ability to “Island” and “Black Start”

Features:
• System can be monitored/controlled locally or remotely
• Four-quadrant operation (Watts and/or VARs)
• Multiple modes of operation: Manual or Scheduled Dispatch, Peak Shaving, PV Smoothing, Islanding and Black Start
",http://energy.gov/sites/prod/files/2014/06/f17/EACJune2014-4Bialek.pdf,DD.02.YYYY,,DD.06.YYYY,,CAISO,San Diego Gas and Electric,Investor Owned,Primary Distribution,,Utility-Owned,San Diego Gas and Electric (SDG&E),,,,Saft,ABB Electric,,San Diego Gas and Electric (SDG&E),,,,,,15,,,,,,,,,,,,,,,,Josh Gerber; Josh McIlvoy,JGerber@semprautilities.com; JMcIlvoy@semprautilities.com; ,,,,,,,DD.29.YYYY 22:29:02,DD.27.YYYY 18:27:35,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,
Aquion AHI at Redwood Gate Ranch,Sodium-ion Battery,Sodium based Battery,Electro-chemical,15,4.0,Operational,On-Site Power,Renewables Energy Time Shift,,,,,,,,,,,38,"August 29, 1899",Jenner,California,United States,,,"The final design of the solar hybrid off-grid microgrid included a 10.8 kW stationary photovoltaic array and a 60 kWh aqueous hybrid ion (AHI) battery pack. Average daily energy consumption was estimated at about 24 kWh with an average daily peak of 4 kW. The system is sized to support >14 kW of instantaneous power in order to serve the maximum anticipated load. Loads include the main house, workshop/garage, guest house, pool filtration, and water pumping. The living spaces use a wood burning stove as the primary heat source and a propane-fueled in-floor radiant heat back up system. Water is heated by a solar thermal system. The system uses control software that enables integration, controls, optimization, automation, and networking of the microgrid components.",http://www.aquionenergy.com/blog/look-aquions-latest-grid-installation-redwood-gate-ranch,,,DD.02.YYYY,,CAISO,,,,,Customer-Owned,Private Individual,100,,,Aquion Energy,Dynapower,Real Goods Solar,,,,,,,10,http://www.battcon.com/PapersFinal2014/3%20Wiley%20Paper%202014%20Final.pdf,,,Private/Third Party,,,,,,,,,,,,Ted Wiley,twiley@aquion-energy.com,412-904-6400,32 39th Street,Pittsburgh,PA,15201,United States,DD.42.YYYY 14:42:51,DD.55.YYYY 20:55:18,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,
SMUD Galt Advanced Feeder Demo ESS,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,500,0.25,Operational,Onsite Renewable Generation Shifting,Renewables Capacity Firming,,,,,,,,,,,38,-121,Galt,California,United States,9690 Kost Road,95632,This Mitsubishi Mlix unit smooths output from a connected PV array.  ,http://www.energy.ca.gov/2013_energypolicy/documents/2013-08-19_workshop/presentations/03_SMUD_2030_Presentation.pdf,,,DD.01.YYYY,,BANC,Sacramento Municipal Utility District,Public Owned,Secondary Distribution,3 MW PV,Utility-Owned,Sacramento Municipal Utilities District,,,,Mitsubishi,,,,,,,,,,N/A,,,,,,,,,,,,,,,Mark Rawson,Mark.Rawson@SMUD.org,,,,,,,DD.37.YYYY 14:37:30,DD.33.YYYY 01:33:15,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
KIUC Anahola Solar Array and Battery,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,6000,0.83,Operational,Onsite Renewable Generation Shifting,Renewables Capacity Firming,,,,,,,,,,,22,"July 24, 1899",Anahola,Hawaii,United States,,96703,"Saft will supply 8 Intensium Max 20M containers and two containers housing an ABB 6 MW PCS to Kaua'i Island Utility Co-operative (KIUC).  The units will be incorporated into a 60-acre, 12 MW (14.5 MW DC) PV array in Anahola on the northeast side of the island of Kaua‘i. It is expected to generate twenty percent of Kaua‘i’s annual energy needs, or enough electricity to power 4,000 homes. 

The duration is 50 minutes @ 3 MW - 70% SOC",http://www.pv-magazine.com/news/details/beitrag/rec-puts-online-hawaiis-largest-solar-plant_100021823/#axzz3qQI5jmIC,DD.06.YYYY,DD.09.YYYY,DD.11.YYYY,,N/A,Kauai Island Utility Cooperative,Cooperative (Customer Owned),Primary Distribution,12 MW PV Array,Utility-Owned,KIUC Renewable Solutions One LLC (KRS1),,,,Saft,ABB,Saft,"Kauai Island Utility Cooperative, Saft","Kauai Island Utility Cooperative, REC Solar",,,,,10,,7000000,,Federal/National Debt,U.S. Department of Agriculture Rural Utilities Service,,,,,,,,,,,John Cox,jpcox@kiuc.coop,808.246.8205,"4463 Pahe'e Street, Suite 1",Lihu'e,Hawaii,96766-2000,United States,DD.07.YYYY 15:07:45,DD.17.YYYY 17:17:49,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
South Coast Air Quality Management District - CODA BESS 3,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,510,2.0,Operational,Electric Bill Management with Renewables,Electric Supply Reserve Capacity - Non-Spinning,Grid-Connected Commercial (Reliability & Quality) ,Load Following (Tertiary Balancing),Transportation Services,,,,,,,,34,"September 4, 1899",Monrovia,California,United States,135 E. Maple Avenue,91016,"A networked collection of (34) 31kWh new Lithium Iron Phosphate vehicle battery systems in groups of 2 each  that are interconnected to the grid via (17) 30kW inverters.  System to provide building demand reduction, peak shaving, time of use load shifting and ancillary services.",http://www.codaenergy.com,,DD.04.YYYY,DD.07.YYYY,,CAISO,Southern California Edison,Investor Owned,Secondary Distribution,,Customer-Owned,CODA Energy Holdings,100,Air Quality Management District,0,CODA Energy Holdings,Princeton Power,CODA Energy Holdings,"CEH CA Operating, LLC",CODA Energy Holdings,Power Source Select,,,Fortress Investment Group,10,"500kW, 2 hours",,,State/Provincial/Regional Grant,Air Quality Management District,890000,State/Provincial/Regional Commercialization Incentive,Self Generation Incentive Program,906000,Private/Third Party Equity,,,,,,Pete Nortman,PNortman@CODAEnergy.com,6265333606,135 E Maple Avenue,Monrovia,California,91016,United States,DD.27.YYYY 17:27:52,DD.07.YYYY 00:07:36,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,
Geli EOS enabled CODA Core System (City of Benicia City Hall),Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,20,2.0,Operational,Electric Bill Management with Renewables,Onsite Renewable Generation Shifting,Renewables Capacity Firming,,,,,,,,,,38,"August 30, 1899",Benicia,California,United States,250 East L St,94510,"Enabled by the Geli Energy Operating System (EOS), the system includes eight(8)networked energy devices. This provides the City of Benicia with an energy dashboard for the 40kWh CODA Energy Storage System, the 175kW Solar PV installation as well as the three (3) EV chargers. It provides the city with demand charge management using both the energy storage system and demand management of the EV chargers. This is the first integration of energy storage with NEM in California.

Watch the video here:
https://www.youtube.com/watch?v=3rLju16xZdA",http://www.sustainablebenicia.org/,DD.06.YYYY,DD.02.YYYY,DD.06.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,,"1 BTC Power Level 3 Fast EV Charger, 175 kW solar PV array",Customer-Owned,City of Benicia,100,,,CODA Energy Holdings,"Ideal Power, Statcon, BTC Power",,Geli,"Geli, CODA Energy",McCalmont Engineering,Bass Electric,,,15,,,,State/Provincial/Regional Grant,California Energy Commission,,State/Provincial/Regional Commercialization Incentive,Self Generation Incentive Program,,Private/Third Party Equity,CODA Energy Holdings,,California Energy Commission,,http://www.energy.ca.gov/,Alex Porteshawver,Aporteshawver@ci.benicia.ca.us,,250 East L St,Benicia,CA,94510,United States,DD.58.YYYY 20:58:22,DD.48.YYYY 17:48:23,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,
SNOPUD MESA 1b Project,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,1000,0.50,Operational,Electric Energy Time Shift,Load Following (Tertiary Balancing),Renewables Capacity Firming,Voltage Support,,,,,,,,,48,"August 30, 1899",Everett,Washington,United States,910 Shuksan Way,98203,"Snohomish County Public Utility District (SNOPUD) and 1Energy Systems will partner to develop and deploy an innovative approach to energy storage, aimed at helping electric utilities increase their use of renewable energy and improve overall reliability. The MESA-1 installation will be the first energy storage system built on the Modular Energy Storage Architecture (MESA), an innovative approach to energy storage based on open, non-proprietary industry standards.  

Two battery systems will be installed for the system: MESA 1b will utilize a Parker Hannifin Power Conversion System and an LG Chem Ltd. 1 MW (500kWh) Li-Ion battery.

Alstom Grid and faculty from the University of Washington will join the project to collaborate on research, analysis and design of technology interfaces. 1Energy will lead the selection of future MESA partners who will provide batteries, power conversion and balance-of-system components.
",http://www.snopud.com/PowerSupply/energystorage.ashx?p=2142,DD.07.YYYY,,DD.11.YYYY,,N/A,Snohomish County Public Utility District,Public Owned,Primary Distribution,,Utility-Owned,Snohomish County Public Utility District No. 1,100,,,LG Chem Ltd.,Parker Hannifin Corporation,"1Energy Services, LLC",Snohomish County Public Utility District No. 1,Snohomish County Public Utility District No. 1,,,,,10,N/A,,,,,,,,,,,,University of Washington,Research the economical and electrical system benefits of wide scale deployment of energy storage throughout the District's service territory.,http://www.ee.washington.edu/people/faculty/kirschen/,Jason Zyskowski,jazyskowski@snopud.com,425-783-4332,1802 - 75th Street S.W.,Everett,Washington,98206-1107,United States,DD.05.YYYY 01:05:42,DD.08.YYYY 23:08:45,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,
South Coast Air Quality Management District - CODA BESS 1+2,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,1000,0.50,Operational,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality) ,Microgrid Capability,Ramping ,Transportable Transmission/Distribution Upgrade Deferral,,,,,,,,34,"September 3, 1899",Monrovia,California,United States,922 S Myrtle Avenue,91016,"An array of (10) 50 kWh Lithium Iron Phosphate battery towers divided into 2 banks of 5 towers apiece.  Each 50 kWh battery tower is individually connected to a 100 kW bidirectional inverter.  Batteries and electronics are housed within 2 custom enclosures of 500 kW each. 

Site includes PV generation and public 8 public EV charging spots. System will be used to provide ancillary services to CAISO, provide local load shifting, plug-in vehicle charging support, and renewable generation ramp control.",http://www.codaenergy.com,DD.01.YYYY,DD.05.YYYY,DD.09.YYYY,,CAISO,Southern California Edison,Investor Owned,Primary Distribution,,Customer-Owned,"CODA Energy Holdings, LLC",100,AQMD,0,,,CODA Energy,CODA Energy,,Power Source,,,Fortress,10,1000kW: 0.5hr,,,Private/Third Party Debt,,,State/Provincial/Regional Grant,South Coast Air Quality Management District,890000,,,,,,,Pete Nortman,PNortman@codaenergy.com,6265333606,135 E Maple Avenue,Monrovia,CA,91016,United States,DD.10.YYYY 04:10:13,DD.05.YYYY 00:05:04,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,
CODA Energy - CORE 40/30,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,30,1.33,Operational,Electric Bill Management,Transportation Services,,,,,,,,,,,34,"September 3, 1899",Monrovia,California,United States,922 S Myrtle Avenue,91016,"A 40kWh, UL Certified (UL1973), battery system comprised of 4 series connected identical 10kWh blocks, connected to a bidirectional 30kW inverter.  Used for ""behind the meter"" demand reduction, EV charging load management, and building power quality & power factor, and renewable generation ramp control.",http://www.codaenergy.com,,,DD.12.YYYY,,CAISO,Southern California Edison,Investor Owned,Secondary Distribution,,Customer-Owned,CODA Energy,100,,,,,CODA Energy,,,Power Source,,,Fortress,10,30kW for 1:20,,,Private/Third Party Equity,CODA Energy,,,,,,,,,,,Pete Nortman,PNortman@codaenergy.com,6265333606,135 E Maple Avenue,Monrovia,CA,91016,United States,DD.24.YYYY 04:24:08,DD.06.YYYY 21:06:10,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,
Peralta College Green Charge Networks GreenStation,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,30,1.0,Operational,Electric Bill Management,Transportation Services,,,,,,,,,,,38,"August 30, 1899",Oakland,California,United States,333 East 8th Street,94606,"Green Charge Networks is providing intelligent energy storage solutions to reduce peak demand charges with their sophisticated software algorithm and battery storage system.  In addition, Green Charge Networks is aggregating locations to participate in Demand Response events to increase the savings. ",http://www.greenchargenet.com/,DD.03.YYYY,,DD.05.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,,Eaton DC Quick Charger,Third-Party-Owned,Green Charge Networks,,,,Green Charge Networks,IPC,Green Charge Networks,,Green Charge Networks,,,,,,N/A,510000,,State/Provincial/Regional,California Energy Commission,,,,,,,,,,,Stephen Kelley,Skelley@greenchargenet.com,1-650-740-3321,"310 Laurelwood Road, Suite 24",Santa Clara,California,95055,United States,DD.36.YYYY 18:36:46,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,
Laney College Green Charge Networks GreenStation,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,30,1.0,Operational,Electric Bill Management,Transportation Services,,,,,,,,,,,38,"August 30, 1899",Oakland,California,United States,900 Fallon Street,94607,"Green Charge Networks is providing intelligent energy storage solutions to reduce peak demand charges with their sophisticated software algorithm and battery storage system.  In addition, Green Charge Networks is aggregating locations to participate in Demand Response events to increase the savings. ",http://www.greenchargenet.com/,DD.03.YYYY,,DD.05.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,,Eaton DC Quick Charger,Third-Party-Owned,Green Charge Networks,,,,Green Charge Networks,IPC,Green Charge Networks,,Green Charge Networks,,,,,,N/A,510000,,State/Provincial/Regional,California Energy Commission,,,,,,,,,,,Stephen Kelley,Skelley@greenchargenet.com,1-650-740-3322,"311 Laurelwood Road, Suite 24",Santa Clara,California,95056,United States,DD.36.YYYY 18:36:47,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,
Merritt College Green Charge Networks GreenStation,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,30,1.0,Operational,Electric Bill Management,Transportation Services,,,,,,,,,,,38,"August 30, 1899",Oakland,California,United States,12500 Campus Drive,94619,"Green Charge Networks is providing intelligent energy storage solutions to reduce peak demand charges with their sophisticated software algorithm and battery storage system.  In addition, Green Charge Networks is aggregating locations to participate in Demand Response events to increase the savings. ",http://www.greenchargenet.com/,DD.03.YYYY,,DD.05.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,,Eaton DC Quick Charger,Third-Party-Owned,Green Charge Networks,,,,Green Charge Networks,IPC,Green Charge Networks,,Green Charge Networks,,,,,,N/A,510000,,State/Provincial/Regional,California Energy Commission,,,,,,,,,,,Stephen Kelley,Skelley@greenchargenet.com,1-650-740-3323,"312 Laurelwood Road, Suite 24",Santa Clara,California,95057,United States,DD.36.YYYY 18:36:47,DD.41.YYYY 18:41:06,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,
